Index,Brand,Model,Length (in),Width (in),Soaking Depth (in),Height (in),Color,Material,Price (USD),Link,User Comments,Reason Rejected
1,DreamLine,Prism BTPM6036XR00,60,36,10.5,TBD,White,Acrylic,~$671,https://www.homedepot.com/p/DreamLine-Prism-60-in-x-36-in-Acrylic-Alcove-Soaking-Bathtub-with-Right-Hand-Drain-in-White-BTPM6036XR00/332031471,No. soaking depth 10.5 in,Soaking depth too shallow
2,Proflo,Hillsboro PFS6036RSKNWH,60,36,13,19.5,White / Biscuit,Acrylic,TBD,https://www.ferguson.com/product/proflo-hillsboro-60-in.-x-36-in.-soaker-alcove-bathtub-with-right-drain-in-white-pfs6036rsknwh/7343077.html,no. soaking depth 13 in,Soaking depth too shallow
3,MTI Baths,Basics MBSISC6036D-WH,60,36,19,TBD,White,Acrylic,~$1778,https://mtibaths.com/products/tubs/reliance/MBIS6036,no. armrests unappealing - soaking depth of 19 in unlikely,Armrests unappealing / depth claim suspect
4,MTI Baths,MBIS6036 Reliance,60,36,TBD,TBD,White,Acrylic,TBD,https://mtibaths.com/products/tubs/reliance/MBIS6036,no. armrests unappealing - soaking depth of 19 in unlikely,Armrests unappealing / depth claim suspect
5,American Standard,Aspirations 2963102,60,36,TBD,TBD,White,Acrylic / fiberglass,TBD,https://www.americanstandard-us.com/products/aspirations-60-x-36-inch-integral-apron-bathtub-with-left-hand-drain,no. discontinued,Discontinued
6,MAAX,Exhibit 106172,60,36,16.25,18,White,Acrylic,$1446,https://www.ferguson.com/product/maax-exhibit-60-in.-x-36-in.-soaker-alcove-bathtub-with-right-drain-in-white-m106173r000001/7882250.html,no. has armrests,Armrests
7,Americh,Wright WR6036T,60,36,15.875,22,White / Biscuit,Acrylic,~$1688,https://americh.com/products/americh-wright-60-36-drop-in-bathtub,no. drop-in only,Not an alcove tub
8,Kingston Brass,Aqua Eden HVTAP6036R22TS,60,36,11,TBD,White,Acrylic,~$648-698,https://www.homedepot.com/p/Kingston-Brass-Aqua-Eden-60-in-x-36-in-Acrylic-Rectangular-Alcove-Soaking-Bathtub-with-Right-Drain-in-White-HVTAP6036R22TS/330975118,no. water depth 11 in,Soaking depth too shallow
9,Signature Hardware,Sitka SHSKS6036RWH,60,36,13,TBD,White,Acrylic,TBD,https://www.signaturehardware.com/60-in-x-36-in-sitka-acrylic-alcove-soaking-tub---white/948822.html,No. soaking depth 13 in,Soaking depth too shallow
10,Jason Hydrotherapy,Integrity B3660 (3128.41.00.01),60,36,17.5,20.5,White / Biscuit,Acrylic,$1786,https://www.modernbathroom.com/showers-tubs/jason-b3660-sl-sr-skirted-tub__3128-prd-xx-prd-xx-prd-cc-prd-skirt.aspx,no. bad link. Not attractive. No confirmed soaking depth,User preference / aesthetics (note: soaking depth IS confirmed at 17.5in - best in class)
11,Bain Ultra,Meridian BMEFRI00N,60,36.5,TBD,21,White / Biscuit,Acrylic,~$2190,https://www.plumbingoverstock.com/products/bain-ultra-bmefri00n-meridian-60-x-36-alcove-drop-in-soaking-tub-only,no,No confirmed soaking depth - user rejected
12,Bain Ultra,Monarch BMLFRB00N,60,36,TBD,20,White / Biscuit,Acrylic,TBD,https://www.plumbingoverstock.com/products/bain-ultra-bmlfrb00n-monarch-60-x-36-alcove-drop-in-soaking-tub-only,no,No confirmed soaking depth - user rejected
13,Hydro Systems,Sydney SYD6036ATO-WHI-RH,60,36,TBD,20,White / Biscuit / Bone,Acrylic,~$1924,https://www.plumbingoverstock.com/products/hydro-systems-syd6036ato-rh-sydney-60-x-36-acrylic-soaking-right-hand-tub,no not enough information,Insufficient spec data available - user rejected
14,Comfortflo,S6036,60,36,TBD,TBD,White / Biscuit / Bone,Acrylic,$899,https://comfortflo.com/products/s6036-soaking-bathtub,No. sold out,Sold out - insufficient spec data - user rejected
15,Kohler,Entity K-26107-RA-0,60,36,14.5,15.75,White,Acrylic,~$1400,https://www.kohler.com/en/products/bathtubs/shop-bathtubs/entity-60-x-36-alcove-bath-with-left-drain-26107-la,,Researched this session - soaking depth only 14.5in. ADA-compliant design trades depth for low step-over height.
16,Kohler,Expanse K-1118-RA-0,60,36,12.69,TBD,White,Acrylic,TBD,https://www.kohler.com/en/products/bathtubs/shop-bathtubs/expanse-60-x-30-36-curved-alcove-bath-with-integral-flange-and-right-hand-drain-1118-ra,,Researched this session - soaking depth only 12-11/16in. Curved apron design.
17,Kohler,Mendota K-506-0 (cast iron),60,32,10.875,16.25,White,Cast iron,~$1537,https://www.kohler.com/en/products/bathtubs/shop-bathtubs/mendota-60-x-32-alcove-bath-with-integral-apron-and-right-hand-drain-506,,Researched this session - cast iron but soaking depth only 10-7/8in (45 gal). Thick walls reduce interior volume.
18,Aquatic Bath,6036HM AFR,60,36,12.625,20,White / Biscuit / Black / Sterling Silver,Acrylic,~$1504,https://aquaticbath.com/everyday/bath/6036hm-afr-60-x-36-acrylx-alcove-bathtub/ac003074/ac003074-r-to-bk,,Researched this session - integral armrests. Soaking depth only 12-5/8in.
19,American Standard,EverClean Deep Soak 2425L102 (60x32),60,32,TBD,TBD,White,Acrylic,TBD,https://americanstandard-us.com/alcove-bathtubs/everclean-60x32-inch-integral-apron-deep-soak-bathtub-with-right-hand-outlet/white-2425l102020,,Researched this session - dual armrests + discontinued. Eliminated.
20,Mirolin,Gryphon Alcove Bath (60x30),60,30,TBD,20,White,Acrylic,~$974,https://mirolin.com/product/bathing/gryphon-alcove-bath/,,Researched this session - 30in wide (below minimum) and has dual armrests.
